timer,hart,actual data,actual data diff,,
143.6047737,513,-4217,-421.7,,
144.459564,513,-3747,-374.7,,
145.3143543,514,-5009,-500.9,,
146.1691446,513,-5166,-516.6,,
147.0239349,515,-4382,-438.2,,
147.8787252,515,-4803,-480.3,,
148.7335156,515,-4591,-459.1,,
149.5883059,514,-4678,-467.8,,
150.4430962,514,-5169,-516.9,,
151.2978865,516,-5505,-550.5,,
152.1526768,514,-4915,-491.5,,
153.0074672,514,-3986,-398.6,,
153.8622575,514,-4339,-433.9,,
154.7170478,514,-3945,-394.5,,
155.5718381,513,-3614,-361.4,,
156.4266284,513,-4822,-482.2,,
157.2814188,515,-5035,-503.5,,
158.1362091,514,-4596,-459.6,,
158.9909994,515,-5026,-502.6,,
159.8457897,514,-5364,-536.4,,
160.70058,514,-4955,-495.5,,
161.5553704,515,-5026,-502.6,,
162.4101607,515,-4798,-479.8,,
163.264951,515,-3587,-358.7,,
164.1197413,516,-3824,-382.4,,
164.9745316,517,-4367,-436.7,,
165.829322,516,-3856,-385.6,,
166.6841123,515,-4502,-450.2,,
167.5389026,516,-5134,-513.4,,
168.3936929,516,-4933,-493.3,,
169.2484832,515,-4807,-480.7,,
170.1032736,513,-5046,-504.6,,
170.9580639,514,-5378,-537.8,,
171.8128542,514,-4611,-461.1,,
172.6676445,513,-4306,-430.6,,
173.5224348,514,-3569,-356.9,,
174.3772251,514,-2654,-265.4,,
175.2320155,515,-3491,-349.1,,
176.0868058,514,-3591,-359.1,,
176.9415961,515,-4501,-450.1,,
177.7963864,516,-5529,-552.9,,
178.6511767,515,-4882,-488.2,,
179.5059671,515,-4964,-496.4,,
180.3607574,515,-5170,-517,,
181.2155477,516,-5165,-516.5,,
182.070338,515,-5958,-595.8,,
182.9251283,515,-7497,-749.7,,
183.7799187,515,-7354,-735.4,,
184.634709,516,-6880,-688,,
185.4894993,515,-7581,-758.1,,
186.3442896,515,-6284,-628.4,,
187.1990799,516,-5418,-541.8,,
188.0538703,515,-5672,-567.2,,
188.9086606,514,-4325,-432.5,,
189.7634509,513,-3684,-368.4,,
190.6182412,514,-4014,-401.4,,
191.4730315,513,-4172,-417.2,,
192.3278219,513,-4430,-443,,
193.1826122,513,-4933,-493.3,,
194.0374025,513,-4804,-480.4,,
194.8921928,514,-3889,-388.9,,
195.7469831,513,-3909,-390.9,,
196.6017735,515,-4167,-416.7,,
197.4565638,515,-3623,-362.3,,
198.3113541,516,-4022,-402.2,,
199.1661444,516,-4922,-492.2,,
200.0209347,517,-4464,-446.4,,
200.875725,518,-4475,-447.5,,
201.7305154,517,-5071,-507.1,,
202.5853057,517,-4897,-489.7,,
203.440096,516,-5183,-518.3,,
204.2948863,517,-5013,-501.3,,
205.1496766,515,-4143,-414.3,,
206.004467,514,-3881,-388.1,,
206.8592573,513,-3537,-353.7,,
207.7140476,514,-3549,-354.9,,
208.5688379,512,-4513,-451.3,,
209.4236282,511,-4857,-485.7,,
210.2784186,513,-4852,-485.2,,
211.1332089,514,-5127,-512.7,,
211.9879992,512,-4867,-486.7,,
212.8427895,514,-5010,-501,,
213.6975798,513,-4843,-484.3,,
214.5523702,515,-4797,-479.7,,
215.4071605,514,-4293,-429.3,,
216.2619508,514,-2938,-293.8,,
217.1167411,516,-3431,-343.1,,
217.9715314,515,-3491,-349.1,,
218.8263218,516,-3700,-370,,
219.6811121,515,-5611,-561.1,,
220.5359024,516,-5919,-591.9,,
221.3906927,514,-5468,-546.8,,
222.245483,514,-5844,-584.4,,
223.1002734,513,-5505,-550.5,,
223.9550637,513,-4780,-478,,
224.809854,513,-5432,-543.2,,
225.6646443,512,-5634,-563.4,,
226.5194346,513,-4619,-461.9,,
227.3742249,515,-5050,-505,,
228.2290153,516,-5112,-511.2,,
229.0838056,515,-4632,-463.2,,
229.9385959,514,-5654,-565.4,,
230.7933862,516,-5899,-589.9,,
231.6481765,515,-5439,-543.9,,
232.5029669,516,-4852,-485.2,,
233.3577572,516,-4998,-499.8,,
234.2125475,516,-4927,-492.7,,
235.0673378,516,-4289,-428.9,,
235.9221281,515,-5336,-533.6,,
236.7769185,516,-4500,-450,,
237.6317088,515,-3871,-387.1,,
238.4864991,515,-4632,-463.2,,
239.3412894,515,-3853,-385.3,,
240.1960797,514,-3988,-398.8,,
241.0508701,515,-4381,-438.1,,
241.9056604,515,-4393,-439.3,,
242.7604507,515,-3787,-378.7,,
243.615241,515,-3498,-349.8,,
244.4700313,516,-4374,-437.4,,
245.3248217,515,-4630,-463,,
246.179612,514,-4904,-490.4,,
247.0344023,514,-4386,-438.6,,
247.8891926,514,-4031,-403.1,,
248.7439829,515,-3543,-354.3,,
249.5987733,514,-2114,-211.4,,
250.4535636,516,-3268,-326.8,,
251.3083539,514,-4371,-437.1,,
252.1631442,516,-3940,-394,,
253.0179345,515,-4639,-463.9,,
253.8727248,516,-4752,-475.2,,
254.7275152,515,-4516,-451.6,,
255.5823055,514,-4179,-417.9,,
256.4370958,514,-4234,-423.4,,
257.2918861,513,-4239,-423.9,,
258.1466764,513,-2990,-299,,
259.0014668,512,-2755,-275.5,,
259.8562571,512,-2749,-274.9,,
260.7110474,512,-3072,-307.2,,
261.5658377,512,-4055,-405.5,,
262.420628,513,-4564,-456.4,,
263.2754184,513,-5018,-501.8,,
264.1302087,514,-4590,-459,,
264.984999,514,-4523,-452.3,,
265.8397893,514,-4179,-417.9,,
266.6945796,515,-3647,-364.7,,
267.54937,515,-4364,-436.4,,
268.4041603,515,-3378,-337.8,,
269.2589506,514,-3174,-317.4,,
270.1137409,515,-3975,-397.5,,
270.9685312,516,-3360,-336,,
271.8233216,515,-4550,-455,,
272.6781119,514,-5183,-518.3,,
273.5329022,514,-4854,-485.4,,
274.3876925,515,-4875,-487.5,,
275.2424828,514,-4144,-414.4,,
276.0972732,514,-4654,-465.4,,
276.9520635,514,-4525,-452.5,,
277.8068538,514,-4802,-480.2,,
278.6616441,514,-5032,-503.2,,
279.5164344,513,-3992,-399.2,,
280.3712247,515,-4654,-465.4,,
281.2260151,516,-4229,-422.9,,
282.0808054,516,-4029,-402.9,,
282.9355957,514,-4790,-479,,
283.790386,516,-4506,-450.6,,
284.6451763,515,-4916,-491.6,,
285.4999667,514,-4473,-447.3,,
286.354757,513,-4502,-450.2,,
287.2095473,513,-5021,-502.1,,
288.0643376,513,-4891,-489.1,,
288.9191279,513,-5143,-514.3,,
289.7739183,513,-4178,-417.8,,
290.6287086,514,-4233,-423.3,,
291.4834989,512,-4424,-442.4,,
292.3382892,513,-3337,-333.7,,
293.1930795,513,-4190,-419,,
294.0478699,514,-4767,-476.7,,
294.9026602,513,-4534,-453.4,,
295.7574505,512,-4911,-491.1,,
296.6122408,512,-5059,-505.9,,
297.4670311,511,-5023,-502.3,,
298.3218215,511,-4913,-491.3,,
299.1766118,511,-5289,-528.9,,
300.0314021,511,-4511,-451.1,,
300.8861924,512,-3722,-372.2,,
301.7409827,511,-4317,-431.7,,
302.5957731,511,-3493,-349.3,,
303.4505634,511,-3616,-361.6,,
304.3053537,513,-4957,-495.7,,
305.160144,512,-4872,-487.2,,
306.0149343,513,-4843,-484.3,,
306.8697246,512,-4920,-492,,
307.724515,513,-5083,-508.3,,
308.5793053,513,-4234,-423.4,,
309.4340956,513,-3813,-381.3,,
