timer,hart
542,-556
543,-3092
544,-2411
545,-2284
546,-2838
547,-2650
548,-3191
549,-2754
550,-3425
551,-2335
552,-1307
553,-2218
554,-508
555,-2300
556,-3837
557,-2681
558,-4151
559,-3344
560,-3033
561,-3057
562,-2318
563,-2491
564,-1430
565,-2353
566,-2457
567,-2183
568,-3795
569,-3516
570,-3289
571,-3071
572,-2645
573,-2835
574,-2887
575,-3236
576,-2864
577,-3359
578,-3353
579,-2526
580,-3970
581,-2884
582,-2181
583,-3471
584,-2274
585,-2711
586,-3199
587,-2291
588,-1986
589,-1603
590,-1843
591,-1108
592,-1191
593,-2562
594,-1753
595,-1650
596,-2475
597,-1928
598,-1822
599,-1904
600,-1080
601,-399
602,-1054
603,-1066
604,-1075
605,-1878
606,-1823
607,-1964
608,-2188
609,-2715
610,-2255
611,-1380
612,-762
613,555
614,-176
615,-682
616,-1165
617,-2456
618,-2111
619,-1869
620,-1219
621,-1510
622,-1574
623,-1225
624,-2289
625,7
626,846
627,-506
628,431
629,-943
630,-2624
631,-1727
632,-916
633,-745
634,-191
635,-738
636,-1852
637,-1635
638,-1876
639,-1650
640,-1112
641,-503
642,-443
643,-1550
644,-893
645,-1083
646,-2431
647,-2129
648,-2631
649,-1998
650,-608
651,-1310
652,-677
653,-983
654,-2632
655,-2074
656,-2410
657,-2468
658,-2196
659,-2582
660,-2017
661,-2077
662,-744
663,-434
664,-1537
665,-1060
666,-2430
667,-3749
668,-3090
669,-2357
670,-2289
671,-2108
672,-1800
673,-2469
674,-1963
675,-1670
676,-2420
677,-2209
678,-2551
679,-3240
680,-3289
681,-2684
682,-1707
683,-2100
684,-2205
685,-2017
686,-2884
687,-2546
688,-2570
689,-2448
690,-1819
691,-2308
692,-1870
693,-2077
694,-2283
695,-2215
696,-2953
697,-2779
698,-2767
699,-2444
700,-2621
701,-2551
702,-1714
703,-2597
704,-2129
705,-1686
706,-2514
707,-2472
708,-3228
709,-3078
710,-3001
711,-2307
712,-664
713,-1766
714,-1721
715,-1458
716,-3263
717,-3199
718,-2517
719,-2981
720,-3163
721,-2018
722,-2377
723,-2894
724,-1342
725,-2586
726,-4198
727,-4370
728,-6383
729,-7453
730,-7220
731,-5669
732,-3869
733,-3135
734,-1051
735,-686
736,-147
737,770
738,-669
739,-489
740,-1341
741,-1793
742,-1282
743,-2233
744,-1040
745,-1635
746,-2378
747,-1503
748,-2195
749,-1762
750,-1473
751,-1456
752,-1643
753,-2374
754,-1999
755,-2053
756,-2094
757,-2464
758,-2844
759,-2911
760,-2754
761,-1130
762,-1375
763,-1803
764,-578
765,-2131
766,-3283
767,-2757
768,-3062
769,-2852
770,-3174
771,-2503
772,-2313
773,-2192
774,-308
775,-1464
776,-2022
777,-2121
778,-3964
779,-3480
780,-3587
781,-3361
782,-2325
783,-2884
784,-2850
785,-2366
786,-2497
787,-3433
788,-3231
789,-2837
790,-3815
791,-2999
792,-2491
793,-2879
794,-3013
795,-3389
796,-3107
797,-3055
798,-2671
799,-2521
800,-2708
801,-2092
802,-2369
803,-2281
804,-1799
805,-2260
806,-2307
807,-2651
808,-1946
809,-1876
810,-1884
811,-212
812,-724
813,-699
814,-869
815,-1694
816,-1558
817,-2203
818,-1481
819,-1779
820,-1881
821,-1272
822,-1156
823,297
824,-328
825,-968
826,-517
827,-2272
828,-2661
829,-1610
830,-2041
831,-1143
832,-875
833,-2660
834,-2112
835,-1094
836,-1701
837,-1428
838,-897
839,-2008
840,-2749
841,-1975
842,-1287
843,-1844
844,-1863
845,-1260
846,-2609
847,-2506
848,-1464
849,-2035
850,-1745
851,-1209
852,-1761
853,-2468
854,-1943
855,-1775
856,-2468
857,-1436
858,-1710
859,-2337
860,-979
861,-1684
862,-1715
863,-647
864,-1413
865,-1833
866,-2053
867,-2105
868,-2143
869,-2027
870,-1549
871,-1468
872,-373
873,-795
874,-1681
875,-683
876,-1956
877,-3056
878,-2356
879,-1944
880,-2145
881,-2251
882,-860
883,-2000
884,-2549
885,-651
886,-1530
887,-1738
888,-1599
889,-2697
890,-2907
891,-2323
892,-1312
893,-2073
894,-1428
895,-1166
896,-2651
897,-1611
898,-2115
899,-2106
900,-1734
901,-2216
902,-1249
903,-2771
904,-2218
905,-1578
906,-2764
907,-2156
908,-3172
909,-1463
910,-991
911,-2013
912,-147
913,-2373
914,-3336
915,-2492
916,-3691
917,-2741
918,-2674
