x,hart
639,2004
640,2004
641,1997
642,2000
643,2000
644,2012
645,2007
646,2007
647,2013
648,2013
649,2010
650,2004
651,2004
652,2010
653,2011
654,2011
655,2011
656,2015
657,2015
658,2015
659,2016
660,2016
661,2011
662,2005
663,2005
664,2014
665,2014
666,2008
667,1998
668,1998
669,2021
670,2009
671,2009
672,2007
673,2018
674,2018
675,2004
676,2011
677,2011
678,2000
679,2012
680,2012
681,2001
682,2015
683,2015
684,1996
685,1996
686,2013
687,2004
688,2004
689,2005
690,2003
691,2003
692,2031
693,2000
694,2000
695,2020
696,2011
697,2011
698,2007
699,2002
700,2002
701,2020
702,2020
703,2004
704,2025
705,2025
706,2027
707,2030
708,2030
709,2040
710,2044
711,2044
712,2055
713,2072
714,2072
715,2057
716,2069
717,2069
718,2061
719,2052
720,2052
721,2068
722,2058
723,2058
724,2044
725,2044
726,2042
727,2034
728,2034
729,2013
730,2032
731,2032
732,2019
733,2008
734,2008
735,2015
736,2001
737,2001
738,1995
739,2002
740,2002
741,2011
742,2011
743,2004
744,2005
745,2005
746,1988
747,1994
748,1994
749,1992
750,1999
751,1999
752,2002
753,1997
754,1997
755,2008
756,2040
757,2040
758,2063
759,2063
760,2102
761,2141
762,2141
763,2187
764,2249
765,2249
766,2332
767,2418
768,2418
769,2507
770,2556
771,2556
772,2547
773,2484
774,2484
775,2365
776,2230
777,2230
778,2096
779,1974
780,1974
781,1887
782,1887
783,1859
784,1835
785,1835
786,1835
787,1841
788,1841
789,1833
790,1848
791,1848
792,1854
793,1854
794,1854
795,1867
796,1888
797,1888
798,1879
799,1879
800,1895
801,1904
802,1904
803,1899
804,1914
805,1914
806,1909
807,1920
808,1920
809,1924
810,1925
811,1925
812,1932
813,1937
814,1937
815,1941
816,1955
817,1955
818,1956
819,1953
820,1953
821,1964
822,1964
823,1959
824,1973
825,1973
826,1979
827,1976
828,1976
829,1971
830,1990
831,1990
832,1983
833,1978
834,1978
835,1981
836,1997
837,1997
838,2007
839,2007
840,1992
841,1992
842,1992
843,2012
844,2022
845,2022
846,2010
847,2019
848,2019
849,2032
850,2003
851,2003
852,2028
853,2038
854,2038
855,2039
856,2029
857,2029
858,2041
859,2041
860,2048
861,2054
862,2054
863,2049
864,2073
865,2073
866,2071
867,2050
868,2050
869,2072
870,2089
871,2089
872,2068
873,2088
874,2088
875,2096
876,2077
877,2077
878,2095
879,2095
880,2113
881,2099
882,2099
883,2104
884,2126
885,2126
886,2111
887,2120
888,2120
889,2128
890,2132
891,2132
892,2126
893,2123
894,2123
895,2147
896,2118
897,2118
898,2126
899,2126
900,2137
901,2121
902,2121
903,2113
904,2137
905,2137
906,2111
907,2104
908,2104
909,2108
910,2091
911,2091
912,2083
913,2084
914,2084
915,2071
916,2071
917,2038
918,2048
919,2048
920,2028
921,2016
922,2016
923,2010
924,1997
925,1997
926,1972
927,1968
928,1968
929,1955
930,1940
931,1940
932,1935
933,1925
934,1925
935,1909
936,1909
937,1891
938,1906
939,1906
940,1887
941,1883
942,1883
943,1891
944,1876
945,1876
946,1879
947,1888
948,1888
949,1887
950,1892
951,1892
952,1903
953,1903
954,1888
955,1899
956,1899
957,1907
958,1910
959,1910
960,1925
961,1919
962,1919
963,1910
964,1936
965,1936
966,1953
967,1932
968,1932
969,1943
970,1950
971,1950
972,1935
973,1952
974,1952
975,1950
976,1950
977,1952
978,1954
979,1954
980,1959
981,1970
982,1970
983,1962
984,1966
985,1966
986,1971
987,1974
988,1974
989,1969
990,1977
